您对「共鸣者界面」的哪个部分不够满意？具体原因是？,您对「背包界面」的哪个部分不够满意？具体原因是？,您对「数据坞」的哪个部分不够满意？具体原因是？,您对「商城」的哪个部分不够满意？具体原因是？,您对「编队」的哪个部分不够满意？具体原因是？,您对「索拉指南」的哪个部分不够满意？具体原因是？,您对「任务界面」的哪个部分不够满意？具体原因是？
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸筛选〖每次弃置选项跳出来的时候，感觉太轻了，有点没觉得换出来过〗,其他〖无〗,(跳过),(跳过),其他〖无〗,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),数据重构,礼包中心,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品列表〖容易找不到东西，例如需要找声骸箱子和其他消耗品时会在左侧一个一个点半天〗┋声骸筛选〖有时候会出现bug，例如明明勾选了但是没有被筛选出来的情况〗,(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
背景,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心,(跳过),其他,(跳过)
(跳过),声骸筛选,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),数据融合┋数据重构,积分兑换,(跳过),(跳过),(跳过)
(跳过),(跳过),数据融合┋数据重构,(跳过),(跳过),(跳过),(跳过)
属性详情〖可以把一些有效属性显示更突出〗┋档案〖其实可以把这些隐藏的东西做进剧情里或者把出一些新密度解锁的剧情〗┋角色服饰〖多出一些有特效皮肤〗┋背景〖背景可以换成各角色出场的地方，比如，小爱是拉海格的可以放一些拉海格的〗,(跳过),数据融合〖提高固定套装的融合次数〗,(跳过),(跳过),周期挑战〖可以缩短深塔周期〗,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
角色服饰┋其他〖新的UI看起来有点怪怪的，背景色能不能再深一点〗,(跳过),(跳过),装扮橱窗〖这个看起来太廉价了，我说实话没什么购买欲望，话说你们真不能多做一点时装？卡缇的到底啥时候上啊？小爱和绯雪有啥时候能上？〗┋其他,(跳过),(跳过),(跳过)
(跳过),物品列表〖新增物品（标记红点）置顶，方便玩家直接点击，不需要玩家下拉滑条去点击了〗┋声骸筛选〖建议增加行全选或者当前页面全选，减少逐个选择的操作〗┋声骸智能弃置〖一周出一次弹窗就行了〗,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸智能弃置,(跳过),(跳过),(跳过),其他,任务列表
(跳过),(跳过),(跳过),(跳过),编队首页〖123太丑了〗,(跳过),(跳过)
(跳过),(跳过),声骸图鉴┋数据重构┋声骸管理方案,(跳过),编队首页〖背景太单调了，可以给角色设计一些与角色相关的编队的背景〗┋快速编队界面,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务列表
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过),(跳过),任务列表
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页┋快速编队界面┋延奏技能详情,(跳过),(跳过)
(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,其他,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),其他,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
声骸,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),合鸣图鉴〖说实话不是很清楚这些东西。〗┋数据重构〖要是能把属性改一下就最好了。〗,装扮橱窗〖能不能把价格降一点？〗┋积分兑换〖要换的东西实在是太少了。〗,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
角色服饰,声骸筛选┋声骸智能弃置,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务详情〖任务指引在我下线一次后容易断〗
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他,声骸筛选,(跳过),(跳过),其他,敌迹探寻,(跳过)
(跳过),(跳过),(跳过),礼包中心,(跳过),其他,其他
(跳过),声骸筛选┋声骸智能弃置,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),装扮橱窗,单选角色界面┋角色筛选界面,不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他,(跳过),其他,其他,其他,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过)
其他,其他,(跳过),其他,(跳过),其他,(跳过)
共鸣链〖反了啊喂〗┋其他〖有点额 太注重设计感 没有实用性 看着好看点着不爽〗,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),延奏技能详情,(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,声骸筛选,声骸管理方案,(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
共鸣链,(跳过),(跳过),礼包中心┋凝刻月相,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),数据重构〖搞个自动合成吧，懒得每次背包满了还要合成〗,(跳过),快速编队界面〖这个聚爆就不能都放左边吗，一个达尼亚右边一个爱米斯左边分不清〗,(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心┋其他〖礼包每次都要全点一遍才没有红点，傻〗,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
属性详情┋武器┋声骸,物品详情┋声骸筛选,(跳过),(跳过),(跳过),(跳过),任务详情
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页┋单选角色界面,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他,其他,(跳过),(跳过),(跳过),(跳过),其他
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品列表,(跳过),礼包中心,(跳过),(跳过),(跳过)
(跳过),(跳过),数据融合〖取消定向融合的次数不好吗？〗,不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),其他〖和老UI相比并没有太明显的变化〗,其他〖和老UI相比并没有太明显变化〗,(跳过),(跳过),(跳过),其他〖基本跟老UI一样，没有新鲜感〗
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸筛选,(跳过),礼包中心,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品列表,数据重构,月相观测卡,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢
其他,(跳过),其他,其他,(跳过),其他,(跳过)
不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),月相观测卡┋礼包中心,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
武器┋共鸣链┋档案┋角色服饰┋背景,(跳过),(跳过),装扮橱窗┋积分兑换,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务列表〖需要找某项任务得翻好久〗
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他〖太黑了，小保底不歪概率为0〗,贝币/星声详情〖星声难得〗┋其他〖游戏有毒〗,(跳过),(跳过),其他〖系统控卡池概率〗,(跳过),(跳过)
(跳过),声骸筛选,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心〖每次更新必有红点让我点完，烦死了〗,编队首页〖丑死了，数字搞那么大干什么〗,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),声骸管理方案〖有没有懒人一件弃置，一个一个看有点费时间〗,(跳过),(跳过),其他〖先别管ui，行不行，先修bug〗,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,物品列表┋贝币/星声详情,(跳过),装扮橱窗┋海市兑换,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
背景,(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品列表┋物品详情┋贝币/星声详情┋声骸筛选┋声骸智能弃置,基础页面┋声骸图鉴┋合鸣图鉴┋数据融合┋数据重构┋声骸管理方案,(跳过),编队首页┋单选角色界面┋快速编队界面┋延奏技能详情┋角色筛选界面,(跳过),任务列表┋任务详情
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页〖难看〗,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务列表〖希望能把不同版本的任务区分开，都在一起会分不清〗
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),单选角色界面〖角色排的太乱了。，不如按属性来排，还容易找到角色，另外一种常用角色可以选择置顶。〗┋快速编队界面┋延奏技能详情,漂泊日志〖太久没更新了。〗,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),编队首页〖太普通了，连原神都比不过〗,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品详情,(跳过),其他〖3.0版本就是垃圾，任务传送在上面你给我传送到下面，又找不到路，看着华丽就行？〗,角色筛选界面,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,声骸智能弃置,(跳过),月相观测卡,快速编队界面,(跳过),(跳过)
(跳过),其他,(跳过),(跳过),(跳过),其他,其他
声骸,声骸筛选,(跳过),(跳过),单选角色界面,敌迹探寻,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),其他〖声骸背包上限，或者针对毕业人员的养成标准不明确，不敢轻易融合胚子〗,(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心〖换设备登录之后会出现礼包红点〗,(跳过),(跳过),(跳过)
共鸣链,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他,(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
共鸣链,(跳过),声骸管理方案,礼包中心,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),其他,(跳过),其他,其他
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸智能弃置〖弃置要点的内容有点多，不能直接弃置前100个〗,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务详情
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),编队首页〖没有以前的顺眼〗,(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
共鸣链〖跟之前的顺序相反，容易搞错〗,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),物品列表〖缺乏科技 高级感〗,(跳过),海市兑换,(跳过),(跳过),(跳过)
共鸣链〖恢复成原来的，从下往上我看着难受〗,(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
属性详情,(跳过),(跳过),其他,(跳过),(跳过),其他
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),其他〖每次获取资源箱都有红点，太麻烦了〗,(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
属性详情,(跳过),声骸管理方案,(跳过),编队首页〖背景太没特色了〗,不是针对某个具体界面，而是整体不喜欢,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸筛选┋声骸智能弃置,(跳过),其他,(跳过),(跳过),其他
(跳过),(跳过),(跳过),礼包中心┋装扮橱窗┋凝刻月相〖图片太大了，与实物不符，勾引我。〗,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,其他〖bbb〗,(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),礼包中心〖小红点好烦〗,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
角色服饰,(跳过),(跳过),礼包中心┋装扮橱窗┋凝刻月相,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸智能弃置,(跳过),月相观测卡┋礼包中心┋装扮橱窗┋凝刻月相,(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过)
其他,其他,其他,其他,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),声骸筛选,其他,其他,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),其他〖没有什么喜不喜欢的，感觉变化不是特别大，看习惯了都一样。〗,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务列表〖太多太杂，堆压任务太多的情况还是不够直观〗
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
角色服饰〖感觉不如原皮〗,(跳过),其他,(跳过),其他,(跳过),其他
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,(跳过),不是针对某个具体界面，而是整体不喜欢,不是针对某个具体界面，而是整体不喜欢
(跳过),声骸筛选〖锁定等标识不够显眼〗,(跳过),(跳过),(跳过),(跳过),(跳过)
不是针对某个具体界面，而是整体不喜欢,声骸筛选┋声骸智能弃置,声骸管理方案,(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),数据融合〖希望可以一键添加〗,礼包中心〖多上点高性价比的礼包〗,(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),任务列表┋其他
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
其他,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),不是针对某个具体界面，而是整体不喜欢,活跃度┋素材获取┋周期挑战┋强者之路┋敌迹探寻,任务列表┋任务详情
其他〖无〗,(跳过),(跳过),(跳过),其他〖无〗,其他〖无〗,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
角色服饰┋其他,(跳过),(跳过),其他,(跳过),(跳过),其他
(跳过),物品列表,(跳过),(跳过),(跳过),(跳过),任务详情
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
共鸣链〖角色展示跟共鸣链重叠，不太好看很不舒服。一眼看不到1命2命〗┋角色服饰〖这皮肤有bug，穿上这衣服莫宁不会眨眼了，跟人偶，伪人一样。但是整体感受不错，但是有些地方看起来很怪，很不舒服。〗,其他,(跳过),(跳过),其他,其他,(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
背景,(跳过),基础页面┋数据融合┋声骸管理方案,(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
